name	category	lang	homepage	desc_cn	desc_en	binlist	rule
conftest	test	go	https://github.com/open-policy-agent/conftest	使用 Open Policy Agent Rego 查询语言针对结构化配置数据编写测试	Write tests against structured configuration data using the Open Policy Agent Rego query language	conftest	{"/asdf":{"cmd":"x asdf use conftest","reference":"https://github.com/looztra/asdf-conftest"},"darwin/brew":{"cmd":"brew install conftest","reference":"https://www.conftest.dev/install/"},"/wget":{"cmd":"LATEST_VERSION=$(wget -O - \"https://api.github.com/repos/open-policy-agent/conftest/releases/latest\" | grep '\"tag_name\":' | sed -E 's/.*\"([^\"]+)\".*/\\1/' | cut -c 2-) \\\n&& ARCH=$(arch) \\\n&& SYSTEM=$(uname) \\\n&& wget \"https://github.com/open-policy-agent/conftest/releases/download/v${LATEST_VERSION}/conftest_${LATEST_VERSION}_${SYSTEM}_${ARCH}.tar.gz\" \\\n&& tar xzf conftest_${LATEST_VERSION}_${SYSTEM}_${ARCH}.tar.gz \\\n&& sudo mv conftest /usr/local/bin\n","reference":"https://www.conftest.dev/install/"},"(win|wsl2)/scoop":{"cmd":"x scoop install conftest","reference":"https://www.conftest.dev/install/"},"arch/yay":{"cmd":"yay -S conftest","reference":"https://aur.archlinux.org/packages/conftest"}}
hey	test	go	https://github.com/rakyll/hey	HTTP 负载生成器，ApacheBench (ab) 的替代工具	HTTP load generator, ApacheBench (ab) replacement	hey	{"/x":{"cmd":"x pkg use hey","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use hey","reference":"https://github.com/raimon49/asdf-hey"},"darwin/brew":{"cmd":"brew install hey","reference":"https://formulae.brew.sh/formula/hey#default"},"ubuntu/apt":{"cmd":"sudo apt-get install hey","reference":"https://github.com/rakyll/hey","dsnap":"hey"},"arch/yay":{"cmd":"yay -S hey-bin","reference":"https://aur.archlinux.org/packages/hey-bin"}}
hyperfine	test	rust	https://github.com/sharkdp/hyperfine	命令行基准测试工具。	A command-line benchmarking tool.	hyperfine	{"/x":{"cmd":"x pkg use hyperfine","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use hyperfine","reference":"https://github.com/volf52/asdf-hyperfine"},"darwin/brew":{"cmd":"brew install hyperfine","reference":"https://formulae.brew.sh/formula/hyperfine#default"},"debian/apt":{"cmd":"sudo apt install hyperfine","reference":"https://github.com/sharkdp/hyperfine","dsnap":"hyperfine"},"ubuntu/wget":{"cmd":"wget https://github.com/sharkdp/hyperfine/releases/download/v1.16.1/hyperfine_1.16.1_amd64.deb \\\n&& sudo dpkg -i hyperfine_1.16.1_amd64.deb\n","reference":"https://github.com/sharkdp/hyperfine"},"alpine/apk":{"cmd":"sudo apk add hyperfine","reference":"https://github.com/sharkdp/hyperfine","dsnap":"hyperfine"},"arch/pacman":{"cmd":"sudo pacman -S hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"fedora/dnf":{"cmd":"sudo dnf install hyperfine","reference":"https://github.com/sharkdp/hyperfine","dsnap":"hyperfine"},"opensuse/zypper":{"cmd":"sudo zypper install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"funtoo/emerge":{"cmd":"sudo emerge app-benchmarks/hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"void/xbps":{"cmd":"sudo xbps-install -S hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"freebsd/pkg":{"cmd":"pkg install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"openbsd/pkg_add":{"cmd":"doas pkg_add hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"nix/nixpkgs":{"cmd":"nix-env -i hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"darwin/port":{"cmd":"sudo port selfupdate && sudo port install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"(win|wsl2)/winget":{"cmd":"x winget install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"(win|wsl2)/scoop":{"cmd":"x scoop install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"(win|wsl2)/choco":{"cmd":"x choco install hyperfine","reference":"https://github.com/sharkdp/hyperfine"},"arch/yay":{"cmd":"yay -S hyperfine-git","reference":"https://aur.archlinux.org/packages/hyperfine-git"}}
py-spy	test	Rust	https://github.com/benfred/py-spy	Py-Spy 是 Python 程序的抽样探测器	py-spy is a sampling profiler for Python programs	py-spy	{"/x":{"cmd":"x pkg use py-spy","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install py-spy","reference":"https://github.com/benfred/py-spy?tab=readme-ov-file#installation","dsnap":"py-spy"},"arch/yay":{"cmd":"yay -S py-spy","reference":"https://aur.archlinux.org/packages/py-spy"}}
cmocka	test	c	https://cmocka.org/	C 的单元测试框架	Unit testing framework for C	cmocka	{"darwin/brew":{"cmd":"brew install cmocka","reference":"https://formulae.brew.sh/formula/cmocka#default"},"ubuntu/apt":{"cmd":"sudo apt-get install libcmocka-dev","reference":"https://gitlab.com/cmocka/cmocka/-/blob/master/INSTALL.md?ref_type=heads","dsnap":"libcmocka-dev"},"arch/yay":{"cmd":"yay -S cmocka-git","reference":"https://aur.archlinux.org/packages/cmocka-git"}}
ali	test	Go	https://github.com/nakabonne/ali	用于执行实时分析的负载测试工具	A load testing tool capable of performing real-time analysis.	ali	{"arch/pacman":{"cmd":"sudo pacman -S ali","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"/nix":{"cmd":"nix-env -iA nixos.ali","reference":"https://search.nixos.org/packages?channel=unstable&show=ali&from=0&size=50&sort=relevance&type=packages&query=ali"},"darwin/brew":{"cmd":"brew install nakabonne/ali/ali","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"darwin/port":{"cmd":"sudo port selfupdate && sudo port install ali","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"debian/apt":{"cmd":"wget https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.deb && \\\nsudo apt install ./ali_0.7.3_linux_amd64.deb\n","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation","dsnap":"ali"},"ubuntu/apt":{"cmd":"wget https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.deb && \\\nsudo apt install ./ali_0.7.3_linux_amd64.deb\n","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation","dsnap":"ali"},"mint/apt":{"cmd":"wget https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.deb && \\\nsudo apt install ./ali_0.7.3_linux_amd64.deb\n","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"kali/apt":{"cmd":"wget https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.deb && \\\nsudo apt install ./ali_0.7.3_linux_amd64.deb\n","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"raspbian/apt":{"cmd":"wget https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.deb && \\\nsudo apt install ./ali_0.7.3_linux_amd64.deb\n","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"fedora/rpm":{"cmd":"rpm -ivh https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.rpm","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"centos/rpm":{"cmd":"rpm -ivh https://github.com/nakabonne/ali/releases/download/v0.7.3/ali_0.7.3_linux_amd64.rpm","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation"},"alpine/apk":{"cmd":"apk add ali","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation","dsnap":"ali"},"freebsd/pkg":{"cmd":"pkg install benchmarks/ali","reference":"https://github.com/nakabonne/ali#installation"},"/go":{"cmd":"go install github.com/nakabonne/ali@latest","reference":"https://github.com/nakabonne/ali?tab=readme-ov-file#installation","dsnap":"github.com/nakabonne/ali@latest"}}
goss	test	Go	https://github.com/goss-org/goss	Goss 是一个基于 YAML 的 serverspec 替代工具，用于验证服务器的配置。它允许用户从当前系统状态生成测试，从而简化了编写测试的过程	Goss is a YAML based serverspec alternative tool for validating a server’s configuration. It eases the process of writing tests by allowing the user to generate tests from the current system state	goss	{"/x":{"cmd":"x pkg use goss","reference":"https://x-cmd.com/install/"},"/curl":{"cmd":"curl -fsSL https://goss.rocks/install | sh","reference":"https://github.com/goss-org/goss?tab=readme-ov-file#installation"},"arch/yay":{"cmd":"yay -S goss-bin","reference":"https://aur.archlinux.org/packages/goss-bin"}}
ffuf	test	Go	https://github.com/ffuf/ffuf	用 Go 编写的快速 Web 模糊测试工具	Fast web fuzzer written in Go	ffuf	{"/x":{"cmd":"x pkg use ffuf","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install ffuf","reference":"https://formulae.brew.sh/formula/ffuf#default"},"/go":{"cmd":"go install github.com/ffuf/ffuf/v2@latest","reference":"https://github.com/ffuf/ffuf?tab=readme-ov-file#installation","dsnap":"github.com/ffuf/ffuf/v2"},"arch/yay":{"cmd":"yay -S ffuf","reference":"https://aur.archlinux.org/packages/ffuf"}}
lakefs	test	Go	https://github.com/treeverse/lakeFS	一个开源工具，可将对象存储转换为类似 Git 的存储库	an open-source tool that transforms your object storage into a Git-like repository.	lakefs	{"/x":{"cmd":"x pkg use lakefs","reference":"https://x-cmd.com/install/"},"/docker":{"cmd":"docker run --pull always \\\n    --name lakefs \\\n    -p 8000:8000 \\\n    treeverse/lakefs:latest \\\n    run --quickstart\n","reference":"https://github.com/treeverse/lakeFS?tab=readme-ov-file#getting-started"},"arch/yay":{"cmd":"yay -S lakefs-bin","reference":"https://aur.archlinux.org/packages/lakefs-bin"}}
locust	test	Python	https://docs.locust.io/	Locust 是一个用于 HTTP 和其他协议的开源性能/负载测试工具	Locust is an open source performance/load testing tool for HTTP and other protocols	locust	{"/x":{"cmd":"x pkg use locust","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install locust","reference":"https://docs.locust.io/en/stable/installation.html#installation"},"darwin/brew":{"cmd":"brew install locust","reference":"https://formulae.brew.sh/formula/locust#default"},"arch/yay":{"cmd":"yay -S python-locust","reference":"https://aur.archlinux.org/packages/python-locust"}}
